title,address,latitude,longitude
GS25아라,제주특별자치도 제주시 아봉로 83,3959001.134,14087777.86
지에스25제대,제주특별자치도 제주시 제주대학로 113,3956568.632,14088830.58
씨유제주,제주특별자치도 제주시 서광로 166,3961829.602,14083485.93
씨유제주공설로점,제주특별자치도 제주시 공설로 33-1,3961500.766,14083885.92
아름다운편의점,제주특별자치도 제주시 오라로 136,3961089.582,14083830.68
씨유제주신성로점,제주특별자치도 제주시 신성로 10,3961281.989,14084240.01
지에스25한라체육관점,제주특별자치도 제주시 서광로4길 10,3961740.541,14083486
지에스25제주오남로점,제주특별자치도 제주시 오남로6길 31,3960545.322,14083977.36
씨유제주정실점,제주특별자치도 제주시 아연로 171,3957995.232,14082950.15
세븐일레븐제주정실점,제주특별자치도 제주시 아연로 145,3958195.035,14082705.39
지에스25오라,제주특별자치도 제주시 연사2길 30,3960051.39,14083353.16
지에스25오라연미점,제주특별자치도 제주시 연사길 91,3960215.171,14083027.43
제주광어가공유통센터,제주특별자치도 제주시 연삼로 166,3960857.696,14083020.64
씨유제주아연로점,제주특별자치도 제주시 아연로 114,3958293.156,14082335.14
